Date,State,Market,Crop,Modal_Price
2020-02-12,Delhi,Azadpur,Onion,4868.395878884593
2020-02-13,Delhi,Azadpur,Onion,4888.806733649689
2020-02-14,Delhi,Azadpur,Onion,4922.29950916763
2020-02-15,Delhi,Azadpur,Onion,4879.880551181329
2020-02-16,Delhi,Azadpur,Onion,4906.136360086325
2020-02-17,Delhi,Azadpur,Onion,4794.279090729855
2020-02-18,Delhi,Azadpur,Onion,4852.468534342523
2020-02-19,Delhi,Azadpur,Onion,
2020-02-20,Delhi,Azadpur,Onion,4917.754289066242
2020-02-21,Delhi,Azadpur,Onion,4810.963536937884
2020-02-22,Delhi,Azadpur,Onion,4926.3318790054755
2020-02-23,Delhi,Azadpur,Onion,4969.19473828353
2020-02-24,Delhi,Azadpur,Onion,4896.1829029319015
2020-02-25,Delhi,Azadpur,Onion,4916.69096733083
2020-02-26,Delhi,Azadpur,Onion,4976.98423906883
2020-02-27,Delhi,Azadpur,Onion,4953.674666512232
2020-02-28,Delhi,Azadpur,Onion,4980.048516424837
2020-02-29,Delhi,Azadpur,Onion,4931.081333542334
2020-03-01,Delhi,Azadpur,Onion,4900.2581470670075
2020-03-02,Delhi,Azadpur,Onion,4897.902984162223
2020-03-03,Delhi,Azadpur,Onion,4926.053963652023
2020-03-04,Delhi,Azadpur,Onion,4981.628119532558
2020-03-05,Delhi,Azadpur,Onion,4906.881916636817
2020-03-06,Delhi,Azadpur,Onion,4992.160637174636
2020-03-07,Delhi,Azadpur,Onion,4908.782428773277
2020-03-08,Delhi,Azadpur,Onion,4872.084127027802
2020-03-09,Delhi,Azadpur,Onion,4951.523715066772
2020-03-10,Delhi,Azadpur,Onion,4888.83170340332
2020-03-11,Delhi,Azadpur,Onion,4878.983233630065
2020-03-12,Delhi,Azadpur,Onion,4904.2915726714655
2020-03-13,Delhi,Azadpur,Onion,4942.316012053336
2020-03-14,Delhi,Azadpur,Onion,4875.000469618876
2020-03-15,Delhi,Azadpur,Onion,
2020-03-16,Delhi,Azadpur,Onion,4990.7827194865
2020-03-17,Delhi,Azadpur,Onion,4956.636172786172
2020-03-18,Delhi,Azadpur,Onion,4889.306876460862
2020-03-19,Delhi,Azadpur,Onion,4924.9551492151995
2020-03-20,Delhi,Azadpur,Onion,4913.0229572735
2020-03-21,Delhi,Azadpur,Onion,4947.5661182189315
2020-03-22,Delhi,Azadpur,Onion,4966.287338936586
2020-03-23,Delhi,Azadpur,Onion,4886.501771813256
2020-03-24,Delhi,Azadpur,Onion,4920.895877927413
2020-03-25,Delhi,Azadpur,Onion,4971.960781624097
2020-03-26,Delhi,Azadpur,Onion,5057.985368840942
2020-03-27,Delhi,Azadpur,Onion,4913.4900185881725
2020-03-28,Delhi,Azadpur,Onion,4969.946863882954
2020-03-29,Delhi,Azadpur,Onion,5017.00408227456
2020-03-30,Delhi,Azadpur,Onion,4983.556780936398
2020-03-31,Delhi,Azadpur,Onion,4900.901515442089
2020-04-01,Delhi,Azadpur,Onion,4958.92347769104
2020-04-02,Delhi,Azadpur,Onion,4997.624563101082
2020-04-03,Delhi,Azadpur,Onion,4931.822085642452
2020-04-04,Delhi,Azadpur,Onion,4907.647204823554
2020-04-05,Delhi,Azadpur,Onion,4890.527084578055
2020-04-06,Delhi,Azadpur,Onion,4860.98765435291
2020-04-07,Delhi,Azadpur,Onion,4954.058536689484
2020-04-08,Delhi,Azadpur,Onion,4934.828791662332
2020-04-09,Delhi,Azadpur,Onion,4993.85560421921
2020-04-10,Delhi,Azadpur,Onion,4889.345215934472
2020-04-11,Delhi,Azadpur,Onion,4999.746678181952
2020-04-12,Delhi,Azadpur,Onion,5023.357128388097
2020-04-13,Delhi,Azadpur,Onion,
2020-04-14,Delhi,Azadpur,Onion,4931.858610440806
2020-04-15,Delhi,Azadpur,Onion,4930.4971995539545
2020-04-16,Delhi,Azadpur,Onion,
2020-04-17,Delhi,Azadpur,Onion,
2020-04-18,Delhi,Azadpur,Onion,4936.419604117689
2020-04-19,Delhi,Azadpur,Onion,4969.956033427928
2020-04-20,Delhi,Azadpur,Onion,5029.551956778232
2020-04-21,Delhi,Azadpur,Onion,4925.118288416764
2020-04-22,Delhi,Azadpur,Onion,5012.268055521616
2020-04-23,Delhi,Azadpur,Onion,5036.871192668759
2020-04-24,Delhi,Azadpur,Onion,4934.109080804643
2020-04-25,Delhi,Azadpur,Onion,4976.503891921254
2020-04-26,Delhi,Azadpur,Onion,4902.958688532771
2020-04-27,Delhi,Azadpur,Onion,4861.422936102517
2020-04-28,Delhi,Azadpur,Onion,4927.614526448031
2020-04-29,Delhi,Azadpur,Onion,
2020-04-30,Delhi,Azadpur,Onion,4992.581413658881
2020-05-01,Delhi,Azadpur,Onion,4919.807426009931
2020-05-02,Delhi,Azadpur,Onion,4985.160006453281
2020-05-03,Delhi,Azadpur,Onion,4900.038763105702
2020-05-04,Delhi,Azadpur,Onion,4948.868583606006
2020-05-05,Delhi,Azadpur,Onion,4929.130889871124
2020-05-06,Delhi,Azadpur,Onion,4941.191786868518
2020-05-07,Delhi,Azadpur,Onion,4976.40269924089
2020-05-08,Delhi,Azadpur,Onion,4927.698833612565
2020-05-09,Delhi,Azadpur,Onion,5024.932531900341
2020-05-10,Delhi,Azadpur,Onion,4963.256914178277
2020-05-11,Delhi,Azadpur,Onion,4981.165551024583
2020-05-12,Delhi,Azadpur,Onion,5001.355070299803
2020-05-13,Delhi,Azadpur,Onion,4960.200319507441
2020-05-14,Delhi,Azadpur,Onion,4904.579092565896
2020-05-15,Delhi,Azadpur,Onion,4968.932315798311
2020-05-16,Delhi,Azadpur,Onion,4817.77244618662
2020-05-17,Delhi,Azadpur,Onion,
2020-05-18,Delhi,Azadpur,Onion,4923.476401148264
2020-05-19,Delhi,Azadpur,Onion,4965.167249636334
2020-05-20,Delhi,Azadpur,Onion,4875.400869218291
2020-05-21,Delhi,Azadpur,Onion,4882.882028040548
2020-05-22,Delhi,Azadpur,Onion,4883.71538634782
2020-05-23,Delhi,Azadpur,Onion,4908.560361888665
2020-05-24,Delhi,Azadpur,Onion,4942.39350617009
2020-05-25,Delhi,Azadpur,Onion,4851.807288670081
2020-05-26,Delhi,Azadpur,Onion,4936.89492186059
2020-05-27,Delhi,Azadpur,Onion,4949.428077383044
2020-05-28,Delhi,Azadpur,Onion,4890.68746143285
2020-05-29,Delhi,Azadpur,Onion,4930.314474983788
2020-05-30,Delhi,Azadpur,Onion,4879.621502859735
2020-05-31,Delhi,Azadpur,Onion,4890.476702983761
2020-06-01,Delhi,Azadpur,Onion,4886.856775608908
2020-06-02,Delhi,Azadpur,Onion,4889.233954714204
2020-06-03,Delhi,Azadpur,Onion,4868.66982839356
2020-06-04,Delhi,Azadpur,Onion,4947.3379272136135
2020-06-05,Delhi,Azadpur,Onion,4887.793745949021
2020-06-06,Delhi,Azadpur,Onion,
2020-06-07,Delhi,Azadpur,Onion,4936.395055651043
2020-06-08,Delhi,Azadpur,Onion,4919.825494434809
2020-06-09,Delhi,Azadpur,Onion,4850.248818950072
2020-06-10,Delhi,Azadpur,Onion,4897.995959102723
2020-06-11,Delhi,Azadpur,Onion,4823.22954079878
2020-06-12,Delhi,Azadpur,Onion,4884.7932644843
2020-06-13,Delhi,Azadpur,Onion,4893.529984055301
2020-06-14,Delhi,Azadpur,Onion,4875.592289815582
2020-06-15,Delhi,Azadpur,Onion,4882.710459098087
2020-06-16,Delhi,Azadpur,Onion,4863.3972828779015
2020-06-17,Delhi,Azadpur,Onion,4823.849506403156
2020-06-18,Delhi,Azadpur,Onion,4805.217591437287
2020-06-19,Delhi,Azadpur,Onion,4901.124875993658
2020-06-20,Delhi,Azadpur,Onion,4831.475105294339
2020-06-21,Delhi,Azadpur,Onion,4925.384019304902
2020-06-22,Delhi,Azadpur,Onion,4798.221552327957
2020-06-23,Delhi,Azadpur,Onion,4861.512477004359
2020-06-24,Delhi,Azadpur,Onion,4876.864442793628
2020-06-25,Delhi,Azadpur,Onion,4885.260792939649
2020-06-26,Delhi,Azadpur,Onion,4870.941051373297
2020-06-27,Delhi,Azadpur,Onion,4798.47113341456
2020-06-28,Delhi,Azadpur,Onion,4766.082101232956
2020-06-29,Delhi,Azadpur,Onion,4848.718949891546
2020-06-30,Delhi,Azadpur,Onion,4865.7888243152565
2020-07-01,Delhi,Azadpur,Onion,4808.817565072075
2020-07-02,Delhi,Azadpur,Onion,4754.481124999063
2020-07-03,Delhi,Azadpur,Onion,4726.350894915249
2020-07-04,Delhi,Azadpur,Onion,4804.91925449171
2020-07-05,Delhi,Azadpur,Onion,4844.646689467945
2020-07-06,Delhi,Azadpur,Onion,4796.43928583127
2020-07-07,Delhi,Azadpur,Onion,
2020-07-08,Delhi,Azadpur,Onion,
2020-07-09,Delhi,Azadpur,Onion,4731.670884205138
2020-07-10,Delhi,Azadpur,Onion,4833.045475925767
2020-07-11,Delhi,Azadpur,Onion,4704.568475223053
2020-07-12,Delhi,Azadpur,Onion,4864.382881573321
2020-07-13,Delhi,Azadpur,Onion,4673.160619895249
2020-07-14,Delhi,Azadpur,Onion,4756.995927467879
2020-07-15,Delhi,Azadpur,Onion,4677.0520959955575
2020-07-16,Delhi,Azadpur,Onion,4744.089073592176
2020-07-17,Delhi,Azadpur,Onion,4746.726453751153
2020-07-18,Delhi,Azadpur,Onion,4686.629918770201
2020-07-19,Delhi,Azadpur,Onion,4738.550279719034
2020-07-20,Delhi,Azadpur,Onion,
2020-07-21,Delhi,Azadpur,Onion,4848.390312510579
2020-07-22,Delhi,Azadpur,Onion,4721.814520321271
2020-07-23,Delhi,Azadpur,Onion,4761.05209922538
2020-07-24,Delhi,Azadpur,Onion,4716.319358051344
2020-07-25,Delhi,Azadpur,Onion,4763.365386190543
2020-07-26,Delhi,Azadpur,Onion,4730.476903448578
2020-07-27,Delhi,Azadpur,Onion,4806.821614831249
2020-07-28,Delhi,Azadpur,Onion,4718.846760077721
2020-07-29,Delhi,Azadpur,Onion,4674.265144028609
2020-07-30,Delhi,Azadpur,Onion,4717.557038309724
2020-07-31,Delhi,Azadpur,Onion,4734.622144825713
2020-08-01,Delhi,Azadpur,Onion,4711.9691201866435
2020-08-02,Delhi,Azadpur,Onion,4733.998792717368
2020-08-03,Delhi,Azadpur,Onion,4775.707707026437
2020-08-04,Delhi,Azadpur,Onion,4697.86984353473
2020-08-05,Delhi,Azadpur,Onion,4727.337197184368
2020-08-06,Delhi,Azadpur,Onion,4664.713694318432
2020-08-07,Delhi,Azadpur,Onion,4755.590849662505
2020-08-08,Delhi,Azadpur,Onion,4678.502959193626
2020-08-09,Delhi,Azadpur,Onion,4759.167020729785
2020-08-10,Delhi,Azadpur,Onion,4712.240853906282
2020-08-11,Delhi,Azadpur,Onion,4793.999690619207
2020-08-12,Delhi,Azadpur,Onion,4713.146968654942
2020-08-13,Delhi,Azadpur,Onion,4710.569006547297
2020-08-14,Delhi,Azadpur,Onion,4720.237521597097
2020-08-15,Delhi,Azadpur,Onion,4792.766060869478
2020-08-16,Delhi,Azadpur,Onion,4718.255491037369
2020-08-17,Delhi,Azadpur,Onion,4854.185824921454
2020-08-18,Delhi,Azadpur,Onion,4659.39057525772
2020-08-19,Delhi,Azadpur,Onion,4608.375899839549
2020-08-20,Delhi,Azadpur,Onion,4758.44633756542
2020-08-21,Delhi,Azadpur,Onion,4682.972155105713
2020-08-22,Delhi,Azadpur,Onion,4663.16798148447
2020-08-23,Delhi,Azadpur,Onion,4666.763397989104
2020-08-24,Delhi,Azadpur,Onion,4620.796059523828
2020-08-25,Delhi,Azadpur,Onion,4622.180633533347
2020-08-26,Delhi,Azadpur,Onion,4732.575451973074
2020-08-27,Delhi,Azadpur,Onion,4608.156687200194
2020-08-28,Delhi,Azadpur,Onion,4666.08046380373
2020-08-29,Delhi,Azadpur,Onion,4613.457590910772
2020-08-30,Delhi,Azadpur,Onion,4666.80377106461
2020-08-31,Delhi,Azadpur,Onion,4679.890570586634
2020-09-01,Delhi,Azadpur,Onion,4672.467957597388
2020-09-02,Delhi,Azadpur,Onion,4686.019785153345
2020-09-03,Delhi,Azadpur,Onion,4707.855344940363
2020-09-04,Delhi,Azadpur,Onion,4673.924528453856
2020-09-05,Delhi,Azadpur,Onion,4647.842517403749
2020-09-06,Delhi,Azadpur,Onion,4641.365557612762
2020-09-07,Delhi,Azadpur,Onion,4625.820154436549
2020-09-08,Delhi,Azadpur,Onion,4701.1183814005
2020-09-09,Delhi,Azadpur,Onion,4685.733438800093
2020-09-10,Delhi,Azadpur,Onion,4609.306514270805
2020-09-11,Delhi,Azadpur,Onion,4568.473243967637
2020-09-12,Delhi,Azadpur,Onion,4659.923361385628
2020-09-13,Delhi,Azadpur,Onion,4674.075914843405
2020-09-14,Delhi,Azadpur,Onion,4597.495427288878
2020-09-15,Delhi,Azadpur,Onion,4646.256812745054
2020-09-16,Delhi,Azadpur,Onion,4647.153225591607
2020-09-17,Delhi,Azadpur,Onion,4640.520485834476
2020-09-18,Delhi,Azadpur,Onion,4661.3077474520605
2020-09-19,Delhi,Azadpur,Onion,4708.8060917002895
2020-09-20,Delhi,Azadpur,Onion,4663.8403546144355
2020-09-21,Delhi,Azadpur,Onion,4567.21805816513
2020-09-22,Delhi,Azadpur,Onion,4720.317822582476
2020-09-23,Delhi,Azadpur,Onion,4579.6895176536955
2020-09-24,Delhi,Azadpur,Onion,4611.032546966711
2020-09-25,Delhi,Azadpur,Onion,4685.796337713028
2020-09-26,Delhi,Azadpur,Onion,4614.906056401929
2020-09-27,Delhi,Azadpur,Onion,4592.0819770945955
2020-09-28,Delhi,Azadpur,Onion,4761.761614725751
2020-09-29,Delhi,Azadpur,Onion,4758.0118911096
2020-09-30,Delhi,Azadpur,Onion,4566.138836179559
2020-10-01,Delhi,Azadpur,Onion,4606.742488636376
2020-10-02,Delhi,Azadpur,Onion,4609.359674829932
2020-10-03,Delhi,Azadpur,Onion,4653.0150814679055
2020-10-04,Delhi,Azadpur,Onion,4634.529494810609
2020-10-05,Delhi,Azadpur,Onion,4648.294529420202
2020-10-06,Delhi,Azadpur,Onion,4688.6440032326545
2020-10-07,Delhi,Azadpur,Onion,4689.9495093130445
2020-10-08,Delhi,Azadpur,Onion,4674.614541975605
2020-10-09,Delhi,Azadpur,Onion,4657.222860448141
2020-10-10,Delhi,Azadpur,Onion,
2020-10-11,Delhi,Azadpur,Onion,4635.340441062366
2020-10-12,Delhi,Azadpur,Onion,4744.0734969734385
2020-10-13,Delhi,Azadpur,Onion,4667.841891520626
2020-10-14,Delhi,Azadpur,Onion,4683.269284017484
2020-10-15,Delhi,Azadpur,Onion,4606.628496452474
2020-10-16,Delhi,Azadpur,Onion,4651.063256392058
2020-10-17,Delhi,Azadpur,Onion,4689.959849983072
2020-10-18,Delhi,Azadpur,Onion,4688.117870287728
2020-10-19,Delhi,Azadpur,Onion,4653.340069011881
2020-10-20,Delhi,Azadpur,Onion,4797.582139949299
2020-10-21,Delhi,Azadpur,Onion,4722.228731062612
2020-10-22,Delhi,Azadpur,Onion,4733.420861273555
2020-10-23,Delhi,Azadpur,Onion,4735.253103418273
2020-10-24,Delhi,Azadpur,Onion,4795.060374398542
2020-10-25,Delhi,Azadpur,Onion,4569.31191493574
2020-10-26,Delhi,Azadpur,Onion,4672.87488787512
2020-10-27,Delhi,Azadpur,Onion,4747.4464244069495
2020-10-28,Delhi,Azadpur,Onion,4664.296649193522
2020-10-29,Delhi,Azadpur,Onion,4594.186975607845
2020-10-30,Delhi,Azadpur,Onion,4635.587851166507
2020-10-31,Delhi,Azadpur,Onion,4691.595860555124
2020-11-01,Delhi,Azadpur,Onion,4686.052864882816
2020-11-02,Delhi,Azadpur,Onion,4706.713502314572
2020-11-03,Delhi,Azadpur,Onion,4727.472700182625
2020-11-04,Delhi,Azadpur,Onion,4639.932968211705
2020-11-05,Delhi,Azadpur,Onion,4658.364728357872
2020-11-06,Delhi,Azadpur,Onion,4708.608677185802
2020-11-07,Delhi,Azadpur,Onion,4740.959721188724
2020-11-08,Delhi,Azadpur,Onion,4760.984051331056
2020-11-09,Delhi,Azadpur,Onion,4714.131070889271
2020-11-10,Delhi,Azadpur,Onion,4771.472908096827
2020-11-11,Delhi,Azadpur,Onion,4775.263035750289
2020-11-12,Delhi,Azadpur,Onion,4698.884773221811
2020-11-13,Delhi,Azadpur,Onion,4759.294995142962
2020-11-14,Delhi,Azadpur,Onion,4780.72109928293
2020-11-15,Delhi,Azadpur,Onion,4722.072639555351
2020-11-16,Delhi,Azadpur,Onion,4677.595534777609
2020-11-17,Delhi,Azadpur,Onion,4755.700089810794
2020-11-18,Delhi,Azadpur,Onion,4706.788776412366
2020-11-19,Delhi,Azadpur,Onion,4690.166268259011
2020-11-20,Delhi,Azadpur,Onion,4769.8640214061215
2020-11-21,Delhi,Azadpur,Onion,4712.836656524161
2020-11-22,Delhi,Azadpur,Onion,4727.899909308027
2020-11-23,Delhi,Azadpur,Onion,4670.3068696128985
2020-11-24,Delhi,Azadpur,Onion,4776.8134568993655
2020-11-25,Delhi,Azadpur,Onion,4698.208612224282
2020-11-26,Delhi,Azadpur,Onion,
2020-11-27,Delhi,Azadpur,Onion,4756.973215783932
2020-11-28,Delhi,Azadpur,Onion,4726.209285149114
2020-11-29,Delhi,Azadpur,Onion,4845.362693879665
2020-11-30,Delhi,Azadpur,Onion,4767.4016405428265
2020-12-01,Delhi,Azadpur,Onion,4798.03772660594
2020-12-02,Delhi,Azadpur,Onion,4894.681202878577
2020-12-03,Delhi,Azadpur,Onion,4836.793344526105
2020-12-04,Delhi,Azadpur,Onion,4827.744739792138
2020-12-05,Delhi,Azadpur,Onion,4787.03718929573
2020-12-06,Delhi,Azadpur,Onion,
2020-12-07,Delhi,Azadpur,Onion,4804.086488526704
2020-12-08,Delhi,Azadpur,Onion,4787.9232836654
2020-12-09,Delhi,Azadpur,Onion,4815.131283095564
2020-12-10,Delhi,Azadpur,Onion,4756.479789652387
2020-12-11,Delhi,Azadpur,Onion,4843.297344502094
2020-12-12,Delhi,Azadpur,Onion,4862.985968021933
2020-12-13,Delhi,Azadpur,Onion,4778.168602413341
2020-12-14,Delhi,Azadpur,Onion,4793.994239599362
2020-12-15,Delhi,Azadpur,Onion,4751.9108229627545
2020-12-16,Delhi,Azadpur,Onion,4876.369959878752
2020-12-17,Delhi,Azadpur,Onion,4808.783727770466
2020-12-18,Delhi,Azadpur,Onion,4870.389100670246
2020-12-19,Delhi,Azadpur,Onion,4844.813816748585
2020-12-20,Delhi,Azadpur,Onion,4874.179121910724
2020-12-21,Delhi,Azadpur,Onion,4918.857400010207
2020-12-22,Delhi,Azadpur,Onion,4975.499816939009
2020-12-23,Delhi,Azadpur,Onion,4920.600111596639
2020-12-24,Delhi,Azadpur,Onion,4883.200899617129
2020-12-25,Delhi,Azadpur,Onion,4835.772074478437
2020-12-26,Delhi,Azadpur,Onion,4944.069110507159
2020-12-27,Delhi,Azadpur,Onion,4973.217735684998
2020-12-28,Delhi,Azadpur,Onion,4856.638295679774
2020-12-29,Delhi,Azadpur,Onion,4900.192115224153
2020-12-30,Delhi,Azadpur,Onion,4879.592136735805
2020-12-31,Delhi,Azadpur,Onion,4907.03406500961
2021-01-01,Delhi,Azadpur,Onion,4947.249265911586
2021-01-02,Delhi,Azadpur,Onion,4847.677145074783
2021-01-03,Delhi,Azadpur,Onion,4942.51451960527
2021-01-04,Delhi,Azadpur,Onion,4915.451409974506
2021-01-05,Delhi,Azadpur,Onion,4885.476078348212
2021-01-06,Delhi,Azadpur,Onion,
2021-01-07,Delhi,Azadpur,Onion,4856.258186633199
2021-01-08,Delhi,Azadpur,Onion,4990.547897282274
2021-01-09,Delhi,Azadpur,Onion,4957.041041280847
2021-01-10,Delhi,Azadpur,Onion,4968.487930376983
2021-01-11,Delhi,Azadpur,Onion,4937.9651376373495
2021-01-12,Delhi,Azadpur,Onion,4898.26075952755
2021-01-13,Delhi,Azadpur,Onion,4997.530413099769
2021-01-14,Delhi,Azadpur,Onion,4912.6435415444785
2021-01-15,Delhi,Azadpur,Onion,5030.108426272923
2021-01-16,Delhi,Azadpur,Onion,4926.980323407996
2021-01-17,Delhi,Azadpur,Onion,4988.393931810717
2021-01-18,Delhi,Azadpur,Onion,4990.182877682934
2021-01-19,Delhi,Azadpur,Onion,5054.376552790665
2021-01-20,Delhi,Azadpur,Onion,4960.8006101023575
2021-01-21,Delhi,Azadpur,Onion,4932.663157021626
2021-01-22,Delhi,Azadpur,Onion,5031.409362810406
2021-01-23,Delhi,Azadpur,Onion,4976.24270048153
2021-01-24,Delhi,Azadpur,Onion,5015.384143250954
2021-01-25,Delhi,Azadpur,Onion,5022.230303067429
2021-01-26,Delhi,Azadpur,Onion,5037.780506691136
2021-01-27,Delhi,Azadpur,Onion,5060.240723368742
2021-01-28,Delhi,Azadpur,Onion,5065.680197021238
2021-01-29,Delhi,Azadpur,Onion,4965.633442594649
2021-01-30,Delhi,Azadpur,Onion,5074.45929909698
2021-01-31,Delhi,Azadpur,Onion,5024.556238739815
2021-02-01,Delhi,Azadpur,Onion,5008.041235756126
2021-02-02,Delhi,Azadpur,Onion,5092.2787932523715
2021-02-03,Delhi,Azadpur,Onion,5093.6661003384315
2021-02-04,Delhi,Azadpur,Onion,4988.400471504256
2021-02-05,Delhi,Azadpur,Onion,5011.3125538863505
2021-02-06,Delhi,Azadpur,Onion,5073.757757185817
2021-02-07,Delhi,Azadpur,Onion,5017.249516175864
2021-02-08,Delhi,Azadpur,Onion,5013.775668959159
2021-02-09,Delhi,Azadpur,Onion,5058.438868857798
2021-02-10,Delhi,Azadpur,Onion,4998.1196316125215
2021-02-11,Delhi,Azadpur,Onion,
2021-02-12,Delhi,Azadpur,Onion,5030.0054773381635
2021-02-13,Delhi,Azadpur,Onion,5065.269052582785
2021-02-14,Delhi,Azadpur,Onion,5139.3291996575535
2021-02-15,Delhi,Azadpur,Onion,5069.363997401461
2021-02-16,Delhi,Azadpur,Onion,
2021-02-17,Delhi,Azadpur,Onion,5053.404719428981
2021-02-18,Delhi,Azadpur,Onion,5027.567408311031
2021-02-19,Delhi,Azadpur,Onion,5046.4608291529585
2021-02-20,Delhi,Azadpur,Onion,5121.142584192623
2021-02-21,Delhi,Azadpur,Onion,5050.1262661600595
2021-02-22,Delhi,Azadpur,Onion,5056.825238162581
2021-02-23,Delhi,Azadpur,Onion,5082.993661569421
2021-02-24,Delhi,Azadpur,Onion,5071.504002636065
2021-02-25,Delhi,Azadpur,Onion,5135.071992273423
2021-02-26,Delhi,Azadpur,Onion,5142.379868206342
2021-02-27,Delhi,Azadpur,Onion,5103.527955368001
2021-02-28,Delhi,Azadpur,Onion,5126.900554128303
2021-03-01,Delhi,Azadpur,Onion,5111.342756352539
2021-03-02,Delhi,Azadpur,Onion,5090.366782817058
2021-03-03,Delhi,Azadpur,Onion,5087.057812024646
2021-03-04,Delhi,Azadpur,Onion,5096.198867683581
2021-03-05,Delhi,Azadpur,Onion,5118.824296477383
2021-03-06,Delhi,Azadpur,Onion,5115.556303618273
2021-03-07,Delhi,Azadpur,Onion,5131.465453066891
2021-03-08,Delhi,Azadpur,Onion,
2021-03-09,Delhi,Azadpur,Onion,5161.040521900726
2021-03-10,Delhi,Azadpur,Onion,5219.765809567691
2021-03-11,Delhi,Azadpur,Onion,5202.642516582375
2021-03-12,Delhi,Azadpur,Onion,5154.393335333827
2021-03-13,Delhi,Azadpur,Onion,5096.929569470995
2021-03-14,Delhi,Azadpur,Onion,5071.329492107726
2021-03-15,Delhi,Azadpur,Onion,5063.57668478959
2021-03-16,Delhi,Azadpur,Onion,5115.805842846461
2021-03-17,Delhi,Azadpur,Onion,5203.472843337737
2021-03-18,Delhi,Azadpur,Onion,
2021-03-19,Delhi,Azadpur,Onion,
2021-03-20,Delhi,Azadpur,Onion,
2021-03-21,Delhi,Azadpur,Onion,5090.200340004067
2021-03-22,Delhi,Azadpur,Onion,5116.317588614701
2021-03-23,Delhi,Azadpur,Onion,5164.592816907156
2021-03-24,Delhi,Azadpur,Onion,
2021-03-25,Delhi,Azadpur,Onion,
2021-03-26,Delhi,Azadpur,Onion,
2021-03-27,Delhi,Azadpur,Onion,5073.467691013127
2021-03-28,Delhi,Azadpur,Onion,5067.365206681646
2021-03-29,Delhi,Azadpur,Onion,5028.6631143473305
2021-03-30,Delhi,Azadpur,Onion,5154.327552246524
2021-03-31,Delhi,Azadpur,Onion,5200.525217420591
2021-04-01,Delhi,Azadpur,Onion,5152.486136113168
2021-04-02,Delhi,Azadpur,Onion,5148.243107716211
2021-04-03,Delhi,Azadpur,Onion,5155.130791317748
2021-04-04,Delhi,Azadpur,Onion,5258.185332338704
2021-04-05,Delhi,Azadpur,Onion,5164.620066078267
2021-04-06,Delhi,Azadpur,Onion,5060.423023687678
2021-04-07,Delhi,Azadpur,Onion,5153.4666389780405
2021-04-08,Delhi,Azadpur,Onion,
2021-04-09,Delhi,Azadpur,Onion,5170.575375066969
2021-04-10,Delhi,Azadpur,Onion,5100.357747514714
2021-04-11,Delhi,Azadpur,Onion,5263.755912966349
2021-04-12,Delhi,Azadpur,Onion,
2021-04-13,Delhi,Azadpur,Onion,5212.2179663878715
2021-04-14,Delhi,Azadpur,Onion,5201.673101670585
